Name,Race,Property,Size,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Map1,Map2,Map3,Map4,Map5
Acidus Blue,Dragon,Wind,Large,Blue Potion,Blue Herb,Rough Wind,Dragon Canine,Dragon Scale,Blue Bijou,Blue Bijou,Monster Card,abyss_02,abyss_03,,,
Acidus Yellow,Dragon,Holy,Large,Orange,Inverse Scale,Stone Buckler [1],Dragon Canine,Dragon Scale,Yellow Bijou,Treasure Box,Monster Card,abyss_02,abyss_03,,,
Alarm,Formless,Neutral,Medium,Needle Of Alarm,Clip [1],Skull,Magnifier,Oridecon,Key Of Clock Tower,Zargon,Monster Card,c_tower3,c_tower4,,,
Alchemist Armeyer,Demi-Human,Earth,Medium,Old Blue Box,Orcish Axe,Cleaver,Coat [1],Lord’s Clothes [1],Handcuffs,Research Chart,,teg_dun02,,,,
Alice,Demi-Human,Neutral,Medium,Alice s Apron,Old Broom,Crystal Pumps,Small Ribbons,Level 5 Heal,Monster Card,,,gl_cas01,gl_cas02,gl_in01,gl_knt01,gl_knt02
Alicel,Demon,Neutral,Medium,Elunium,Steel,Drill Katar [1],Vali’s Manteau,Rusty Screw,Solid Iron Piece,Burnt Part,Monster Card,kh_dun01,kh_dun02,,,
Aliot,Demon,Neutral,Medium,Elunium,Claw [2],Falcon Muffler,Curved Sword [2],Rusty Screw,Solid Iron Piece,Burnt Part,Monster Card,kh_dun01,kh_dun02,,,
Alligator,Brute,Water,Medium,Zargon,Worn-out Prison Uniform,Anolian Skin,Yggdrasil Seed,Rough Oridecon,Monster Card,,,cmd_fild01,cmd_fild02,cmd_fild04,cmd_fild05,
Aliza,Demi-Human,Neutral,Medium,Soft Apron,Orleans’s Server [1],Morpheus’s Shawl,Rosary [1],Alice’s Apron,Monster Card,Brigan,Royal Cooking Kit,kh_dun01,kh_dun02,,,
Ambernite,Insect,Water,Large,Crystal Blue,Snail s Shell,Garlet,Shell,Solid Shell,Rough Elunium,Iron Ore,Monster Card,alde_dun04,gef_fild04,gef_fild09,gef_fild13,mjolnir_06
Amon ra,Demi-Human,Earth,Large,Spinx Helm,Safety Ring,Fragment of Rossata Stone,Elunium,Old Card Album,Tablet [1],Yggdrasil Berry,Monster Card,moc_pryd06,,,,
Anacondaq,Brute,Poison,Medium,Venom Canine,Glaive [3],Snake Scale,Scales Shell,Yellow Herb,Rough Oridecon,Monster Card,,in_sphinx1,cmd_fild09,moc_fild18,,
Ancient Mummy,Undead,Undead,Medium,Rotten Bandage,Memento,Glove [1],Silver Ring,Rough Oridecon,Rough Elunium,Monster Card,,moc_pryd06,,,,
Ancient Mimic,Formless,Neutral,Large,Old Blue Box,Old Purple Box,Gift Box,Shoes [1],Fricco’s Shoes,Manteau [1],Gold Ring,Monster Card,abyss_01,abyss_02,abyss_03,tha_t02,tha_t03
Andre,Insect,Earth,Small,Worm Peeling,Garlet,Sticky Mucus,Green Live,Venom Canine,Iron Ore,Rough Elunium,Monster Card,anthell01,anthell02,mjolnir_11,moc_fild11,moc_fild15
Angeling,Angel,Holy,Medium,Angel Wing,Scapulare [1],Yggdrasil Leaf,Halo,White Herb,Apple,Emperium,Monster Card,xmas_dun01,mjolnir_10,pay_fild04,yuno_fild03,
Anolian,Fish,Water,Medium,Anolian Skin,Crystal Arrow,Royal Jelly,Red Muffler,Solid Shell,Brooch [1],Oridecon,Monster Card,alde_dun04,gl_sew01,gl_sew02,cmd_fild03,
Anopheles,Insect,Wind,Small,Fly Wing,Bacillus,Monster Card,,,,,,ein_fild05,,,,
Ant Egg,Formless,Neutral,Small,Phracon,Shell,Jellopy,Sticky Mucus,Empty Bottle,Iron Ore,Monster Card,,anthell01,anthell01,anthell02,mjolnir_11,moc_fild11
Antique Firelock,Undead,Undead,Medium,Iron,Apple Of Archer,Large Jellopy,Yellow Herb,Nice Sweet Potato,Panacea,Monster Card,,ama_dun01,ama_dun02,ama_dun03,,
Anubis,Demi-Human,Undead,Large,Rotten Bandage,Oridecon,Cultish Masque,Wand of Occult,Healing Staff,Celebrant’s Mitten,Monster Card,,in_sphinx4,in_sphinx5,,,
Archer Skeleton,Undead,Undead,Medium,Skel-Bone,Rough Oridecon,Apple Of Archer,Great Bow [3],Fire Arrow,Red Herb,Bow [3],Monster Card,c_tower1,c_tower2,c_tower3,c_tower4,moc_pryd02
Archangeling,Angel,Holy,Medium,Satanic Chain,Leaf Of Yggdrasil,Seed Of Yggdrasil,Agate,Angelic Chain,Plate Armor,Turquoise,Monster Card,yuno_fild02,,,,
